1    a0peysza                                 A T O M I C   M A S S   A D J U S T M E N T
0                                                     DATE 18 Nov 2003 TIME 14:12
0        *********************                               A=   0 TO 293
         * file : mass.mas03 *
         *********************

   This is one file out of a series of 3 files published in:
       "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
           Nuclear Physics A729 p. 337-676, December 22, 2003.
                       for files : mass.mas03  atomic masses
                                   rct1.mas03  react and sep energies,  part 1
                                   rct2.mas03  react and sep energies,  part 2

   A fourth file  is the "Rounded" version of the atomic mass table (the first file)
                                   mass.mas03round  atomic masses "Rounded" version

   All files are 3179 lines long with 124 character per line.
       Headers are 39 lines long.

   Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
   Values in the files 4          are exact             copy of the published ones

   col 1     :  Fortran character control: 1 = page feed  0 = line feed
   format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
                cc NZ  N  Z  A    el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
   Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
                      in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
                      with 5 digits after decimal point.
                      also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
                decimal point is replaced by # for (non-experimental) estimated values.
                * in place of value : not calculable

....+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....

                                                               MASS LIST
                                                             for analysis

Data from NNDC sorted according N,Z, ElementName, MassExcess (keV), Binding Energy / A (keV)-Exp, Spin,Bind_Coul/A,Bind/A (RMF)
The table below is a combination of the NNDC files "mass.mass03" and "nubtab03.asc.mod.dat"

Two new columns added: binding energy from RMF Model with and without Coulomb field.
		       For nuclei heavier with A>39 an average of 10.5 MeV (14 MeV) is used in RMF-model.

  N    Z  Element  MassExcess(keV) BindEn/A(keV)    Spin       BindEn/A(keV)  BindEn/A (keV) - last two columns: RMF results
  40   25 65Mn    -40672.69141    8396.14844       2.5000   10500.00000   14000.00000
  39   26 65Fe    -50877.94922    8541.11621       0.5000   10500.00000   14000.00000
  38   27 65Co    -59169.93359    8656.64941       3.5000   10500.00000   14000.00000
  37   28 65Ni    -65126.05078    8736.24609       2.5000   10500.00000   14000.00000
  36   29 65Cu    -67263.66406    8757.09570       1.5000   10500.00000   14000.00000
  35   30 65Zn    -65911.60156    8724.25879       2.5000   10500.00000   14000.00000
  34   31 65Ga    -62657.17188    8662.15430       1.5000   10500.00000   14000.00000
  33   32 65Ge    -56414.62500    8554.07910       1.5000   10500.00000   14000.00000
  32   33 65As    -46981.00000    8397.00000       1.5000   10500.00000   14000.00000
  31   34 65Se    -32919.00000    8169.00000       1.5000   10500.00000   14000.00000
  42   24 66Cr    -24796.00000    8163.00000       0.0000   10500.00000   14000.00000
  40   26 66Fe    -49573.51562    8514.23438       0.0000   10500.00000   14000.00000
  39   27 66Co    -56111.33203    8601.43848       3.0000   10500.00000   14000.00000
  38   28 66Ni    -66006.28125    8739.50781       0.0000   10500.00000   14000.00000
  37   29 66Cu    -66258.27344    8731.47168       1.0000   10500.00000   14000.00000
  36   30 66Zn    -68899.42969    8759.63574       0.0000   10500.00000   14000.00000
  35   31 66Ga    -63724.42578    8669.37305       0.0000   10500.00000   14000.00000
  34   32 66Ge    -61624.42578    8625.70117       0.0000   10500.00000   14000.00000
  33   33 66As    -51502.30469    8460.48242       0.0000   10500.00000   14000.00000
  32   34 66Se    -41722.00000    8300.00000       0.0000   10500.00000   14000.00000
  43   24 67Cr    -19049.00000    8075.00000       0.5000   10500.00000   14000.00000
  42   25 67Mn    -33403.00000    8278.00000       2.5000   10500.00000   14000.00000
  41   26 67Fe    -45692.34766    8449.69531       0.5000   10500.00000   14000.00000
  40   27 67Co    -55061.05078    8577.84961       3.5000   10500.00000   14000.00000
  39   28 67Ni    -63742.67969    8695.75000       0.5000   10500.00000   14000.00000
  38   29 67Cu    -67318.78125    8737.44727       1.5000   10500.00000   14000.00000
  37   30 67Zn    -67880.43750    8734.15430       2.5000   10500.00000   14000.00000
  36   31 67Ga    -66879.67969    8707.54004       1.5000   10500.00000   14000.00000
  35   32 67Ge    -62657.80859    8632.84961       0.5000   10500.00000   14000.00000
  34   33 67As    -56647.80859    8531.47168       2.5000   10500.00000   14000.00000
  33   34 67Se    -46491.00000    8368.00000       2.5000   10500.00000   14000.00000
  32   35 67Br    -32798.00000    8152.00000       0.5000   10500.00000   14000.00000
  42   26 68Fe    -43128.17188    8406.42188       0.0000   10500.00000   14000.00000
  41   27 68Co    -51350.41406    8515.83301       7.0000   10500.00000   14000.00000
  40   28 68Ni    -63463.81641    8682.46582       0.0000   10500.00000   14000.00000
  39   29 68Cu    -65567.03125    8701.88965       1.0000   10500.00000   14000.00000
  38   30 68Zn    -70007.21875    8755.68164       0.0000   10500.00000   14000.00000
  37   31 68Ga    -67086.11719    8701.21973       1.0000   10500.00000   14000.00000
  36   32 68Ge    -66979.78125    8688.15137       0.0000   10500.00000   14000.00000
  35   33 68As    -58899.23438    8557.81445       3.0000   10500.00000   14000.00000
  34   34 68Se    -54214.81250    8477.41992       0.0000   10500.00000   14000.00000
  33   35 68Br    -38642.00000    8237.00000       3.0000   10500.00000   14000.00000
  44   25 69Mn    -25299.00000    8155.00000       2.5000   10500.00000   14000.00000
  43   26 69Fe    -38396.00000    8333.00000       0.5000   10500.00000   14000.00000
  42   27 69Co    -50002.59766    8489.85742       3.5000   10500.00000   14000.00000
  41   28 69Ni    -59978.64844    8623.09863       4.5000   10500.00000   14000.00000
  40   29 69Cu    -65736.21094    8695.20312       1.5000   10500.00000   14000.00000
  39   30 69Zn    -68417.97656    8722.73145       0.5000   10500.00000   14000.00000
  38   31 69Ga    -69327.75781    8724.57812       1.5000   10500.00000   14000.00000
  37   32 69Ge    -67100.60156    8680.96191       2.5000   10500.00000   14000.00000
  36   33 69As    -63086.66406    8611.45117       2.5000   10500.00000   14000.00000
  35   34 69Se    -56301.53125    8501.77734       0.5000   10500.00000   14000.00000
  34   35 69Br    -46476.00000    8348.00000       0.5000   10500.00000   14000.00000
  33   36 69Kr    -32435.00000    8133.00000       2.5000   10500.00000   14000.00000
  44   26 70Fe    -35900.00000    8294.00000       0.0000   10500.00000   14000.00000
  43   27 70Co    -45643.20703    8421.60059       6.0000   10500.00000   14000.00000
  42   28 70Ni    -59149.87109    8603.37695       0.0000   10500.00000   14000.00000
  41   29 70Cu    -62976.12891    8646.86133       6.0000   10500.00000   14000.00000
  40   30 70Zn    -69564.64844    8729.80566       0.0000   10500.00000   14000.00000
  39   31 70Ga    -68910.08594    8709.27930       1.0000   10500.00000   14000.00000
  38   32 70Ge    -70563.10938    8721.71680       0.0000   10500.00000   14000.00000
  37   33 70As    -64343.10938    8621.68359       4.0000   10500.00000   14000.00000
  36   34 70Se    -62046.21484    8577.69531       0.0000   10500.00000   14000.00000
  35   35 70Br    -51426.00000    8415.00000       0.0000   10500.00000   14000.00000
  34   36 70Kr    -41676.00000    8264.00000       0.0000   10500.00000   14000.00000
  45   26 71Fe    -31000.00000    8221.00000       3.5000   10500.00000   14000.00000
  44   27 71Co    -43873.36719    8391.74023       3.5000   10500.00000   14000.00000
  43   28 71Ni    -55203.79688    8540.30371       0.5000   10500.00000   14000.00000
  42   29 71Cu    -62711.12891    8635.02246       1.5000   10500.00000   14000.00000
  41   30 71Zn    -67326.89844    8689.01367       0.5000   10500.00000   14000.00000
  40   31 71Ga    -70140.24219    8717.62012       1.5000   10500.00000   14000.00000
  39   32 71Ge    -69907.73438    8703.32617       0.5000   10500.00000   14000.00000
  38   33 71As    -67894.33594    8663.94922       2.5000   10500.00000   14000.00000
  37   34 71Se    -63116.33594    8585.63477       2.5000   10500.00000   14000.00000
  36   35 71Br    -57063.32422    8489.36230       2.5000   10500.00000   14000.00000
  35   36 71Kr    -46923.32422    8335.52637       2.5000   10500.00000   14000.00000
  34   37 71Rb    -32304.00000    8119.00000       2.5000   10500.00000   14000.00000
  46   26 72Fe    -28299.00000    8182.00000       0.0000   10500.00000   14000.00000
  44   28 72Ni    -53940.32031    8516.24219       0.0000   10500.00000   14000.00000
  43   29 72Cu    -59783.00000    8586.52539       1.0000   10500.00000   14000.00000
  42   30 72Zn    -68131.38281    8691.60938       0.0000   10500.00000   14000.00000
  41   31 72Ga    -68589.38281    8687.10352       3.0000   10500.00000   14000.00000
  40   32 72Ge    -72585.91406    8731.74512       0.0000   10500.00000   14000.00000
  39   33 72As    -68229.81250    8660.37793       2.0000   10500.00000   14000.00000
  38   34 72Se    -67894.40625    8644.85352       0.0000   10500.00000   14000.00000
  37   35 72Br    -59015.19922    8510.66504       1.0000   10500.00000   14000.00000
  36   36 72Kr    -53940.91797    8429.32324       0.0000   10500.00000   14000.00000
  35   37 72Rb    -38117.00000    8199.00000       3.0000   10500.00000   14000.00000
  46   27 73Co    -37036.00000    8289.00000       3.5000   10500.00000   14000.00000
  45   28 73Ni    -49863.00000    8454.00000       4.5000   10500.00000   14000.00000
  44   29 73Cu    -58986.59375    8568.55664       1.5000   10500.00000   14000.00000
  43   30 73Zn    -65410.34375    8645.83691       0.5000   10500.00000   14000.00000
  42   31 73Ga    -69699.33594    8693.87305       1.5000   10500.00000   14000.00000
  41   32 73Ge    -71297.53125    8705.04883       4.5000   10500.00000   14000.00000
  40   33 73As    -70956.70312    8689.66309       1.5000   10500.00000   14000.00000
  39   34 73Se    -68217.64062    8641.42480       4.5000   10500.00000   14000.00000
  38   35 73Br    -63628.93750    8567.84863       0.5000   10500.00000   14000.00000
  37   36 73Kr    -56551.75000    8460.18359       1.5000   10500.00000   14000.00000
  36   37 73Rb    -46052.00000    8306.00000       1.5000   10500.00000   14000.00000
  35   38 73Sr    -31699.00000    8098.00000       0.5000   10500.00000   14000.00000
  46   28 74Ni    -48372.00000    8429.00000       0.0000   10500.00000   14000.00000
  45   29 74Cu    -56006.20312    8521.56152       1.0000   10500.00000   14000.00000
  44   30 74Zn    -65708.88281    8642.10742       0.0000   10500.00000   14000.00000
  43   31 74Ga    -68049.58594    8663.16602       3.0000   10500.00000   14000.00000
  42   32 74Ge    -73422.43750    8725.20020       0.0000   10500.00000   14000.00000
  41   33 74As    -70859.96875    8680.00000       2.0000   10500.00000   14000.00000
  40   34 74Se    -72212.73438    8687.70801       0.0000   10500.00000   14000.00000
  39   35 74Br    -65306.08203    8583.80273       0.0000   10500.00000   14000.00000
  38   36 74Kr    -62331.50781    8533.03418       0.0000   10500.00000   14000.00000
  37   37 74Rb    -51917.05078    8381.72559       0.0000   10500.00000   14000.00000
  36   38 74Sr    -40697.00000    8220.00000       0.0000   10500.00000   14000.00000
  48   27 75Co    -29500.00000    8183.00000       3.5000   10500.00000   14000.00000
  47   28 75Ni    -43901.00000    8365.00000       3.5000   10500.00000   14000.00000
  46   29 75Cu    -54119.80078    8490.40723       1.5000   10500.00000   14000.00000
  45   30 75Zn    -62469.02344    8591.29883       3.5000   10500.00000   14000.00000
  44   31 75Ga    -68464.57812    8660.80762       1.5000   10500.00000   14000.00000
  43   32 75Ge    -71856.42969    8695.60156       0.5000   10500.00000   14000.00000
  42   33 75As    -73032.40625    8700.84961       1.5000   10500.00000   14000.00000
  41   34 75Se    -72169.01562    8678.90723       2.5000   10500.00000   14000.00000
  40   35 75Br    -69139.01562    8628.07617       1.5000   10500.00000   14000.00000
  39   36 75Kr    -64323.62500    8553.43945       2.5000   10500.00000   14000.00000
  38   37 75Rb    -57221.67578    8448.31543       1.5000   10500.00000   14000.00000
  37   38 75Sr    -46621.67578    8296.55078       1.5000   10500.00000   14000.00000
  48   28 76Ni    -41610.00000    8331.00000       0.0000   10500.00000   14000.00000
  47   29 76Cu    -50975.98438    8443.52734       3.0000   10500.00000   14000.00000
  46   30 76Zn    -62136.64062    8580.08301       0.0000   10500.00000   14000.00000
  45   31 76Ga    -66296.64062    8624.52637       2.0000   10500.00000   14000.00000
  44   32 76Ge    -73213.04688    8705.23828       0.0000   10500.00000   14000.00000
  43   33 76As    -72289.50781    8682.79199       2.0000   10500.00000   14000.00000
  42   34 76Se    -75252.04688    8711.47754       0.0000   10500.00000   14000.00000
  41   35 76Br    -70289.17188    8635.88281       1.0000   10500.00000   14000.00000
  40   36 76Kr    -69014.32031    8608.81543       0.0000   10500.00000   14000.00000
  39   37 76Rb    -60479.83203    8486.22461       1.0000   10500.00000   14000.00000
  38   38 76Sr    -54243.89453    8393.87891       0.0000   10500.00000   14000.00000
  49   28 77Ni    -36747.00000    8264.00000       4.5000   10500.00000   14000.00000
  48   29 77Cu    -48577.00000    8408.00000       1.5000   10500.00000   14000.00000
  47   30 77Zn    -58722.34375    8529.13477       3.5000   10500.00000   14000.00000
  46   31 77Ga    -65992.34375    8613.38965       1.5000   10500.00000   14000.00000
  45   32 77Ge    -71214.03125    8671.04395       3.5000   10500.00000   14000.00000
  44   33 77As    -73916.57812    8695.98145       1.5000   10500.00000   14000.00000
  43   34 77Se    -74599.59375    8694.69141       0.5000   10500.00000   14000.00000
  42   35 77Br    -73234.91406    8666.80762       1.5000   10500.00000   14000.00000
  41   36 77Kr    -70169.44531    8616.83594       2.5000   10500.00000   14000.00000
  40   37 77Rb    -64824.53125    8537.26074       1.5000   10500.00000   14000.00000
  39   38 77Sr    -57804.06250    8435.92578       2.5000   10500.00000   14000.00000
  38   39 77Y     -46905.00000    8284.00000       2.5000   10500.00000   14000.00000
  50   28 78Ni    -34298.00000    8230.00000       0.0000   10500.00000   14000.00000
  48   30 78Zn    -57342.57031    8505.57617       0.0000   10500.00000   14000.00000
  47   31 78Ga    -63706.57031    8577.13477       3.0000   10500.00000   14000.00000
  46   32 78Ge    -71862.21094    8671.66504       0.0000   10500.00000   14000.00000
  45   33 78As    -72817.42188    8673.88086       2.0000   10500.00000   14000.00000
  44   34 78Se    -77026.08594    8717.80762       0.0000   10500.00000   14000.00000
  43   35 78Br    -73452.30469    8661.95996       1.0000   10500.00000   14000.00000
  42   36 78Kr    -74179.72656    8661.25586       0.0000   10500.00000   14000.00000
  41   37 78Rb    -66936.22656    8558.36133       0.0000   10500.00000   14000.00000
  40   38 78Sr    -63173.92578    8500.09570       0.0000   10500.00000   14000.00000
  39   39 78Y     -52527.00000    8354.00000       0.0000   10500.00000   14000.00000
  38   40 78Zr    -41703.00000    8205.00000       0.0000   10500.00000   14000.00000
  50   29 79Cu    -42327.00000    8320.00000       1.5000   10500.00000   14000.00000
  49   30 79Zn    -53420.00000    8450.00000       4.5000   10500.00000   14000.00000
  48   31 79Ga    -62509.52734    8555.58008       1.5000   10500.00000   14000.00000
  47   32 79Ge    -69488.52344    8634.01855       0.5000   10500.00000   14000.00000
  46   33 79As    -73636.52344    8676.62207       1.5000   10500.00000   14000.00000
  45   34 79Se    -75917.60156    8695.59277       3.5000   10500.00000   14000.00000
  44   35 79Br    -76068.51562    8687.59961       1.5000   10500.00000   14000.00000
  43   36 79Kr    -74442.73438    8657.11816       0.5000   10500.00000   14000.00000
  42   37 79Rb    -70803.35938    8601.14746       2.5000   10500.00000   14000.00000
  41   38 79Sr    -65476.57812    8523.81641       1.5000   10500.00000   14000.00000
  40   39 79Y     -58356.57812    8423.78613       2.5000   10500.00000   14000.00000
  39   40 79Zr    -47357.00000    8275.00000       2.5000   10500.00000   14000.00000
  50   30 80Zn    -51844.76953    8425.99707       0.0000   10500.00000   14000.00000
  49   31 80Ga    -59135.16797    8507.34668       3.0000   10500.00000   14000.00000
  48   32 80Ge    -69515.17188    8627.31836       0.0000   10500.00000   14000.00000
  47   33 80As    -72159.28906    8650.58984       1.0000   10500.00000   14000.00000
  46   34 80Se    -77759.93750    8710.81934       0.0000   10500.00000   14000.00000
  45   35 80Br    -75889.46875    8677.65918       1.0000   10500.00000   14000.00000
  44   36 80Kr    -77892.49219    8692.91699       0.0000   10500.00000   14000.00000
  43   37 80Rb    -72172.85156    8611.64160       1.0000   10500.00000   14000.00000
  42   38 80Sr    -70308.22656    8578.55469       0.0000   10500.00000   14000.00000
  41   39 80Y     -61217.78516    8455.14453       4.0000   10500.00000   14000.00000
  40   40 80Zr    -55517.04297    8374.10742       0.0000   10500.00000   14000.00000
  51   30 81Zn    -46128.00000    8351.00000       2.5000   10500.00000   14000.00000
  50   31 81Ga    -57983.30859    8487.74414       2.5000   10500.00000   14000.00000
  49   32 81Ge    -66303.30469    8580.80078       4.5000   10500.00000   14000.00000
  48   33 81As    -72533.30469    8648.05566       1.5000   10500.00000   14000.00000
  47   34 81Se    -76389.51562    8686.00488       0.5000   10500.00000   14000.00000
  46   35 81Br    -77974.83594    8695.91797       1.5000   10500.00000   14000.00000
  45   36 81Kr    -77694.03906    8682.79297       3.5000   10500.00000   14000.00000
  44   37 81Rb    -75454.82031    8645.49023       1.5000   10500.00000   14000.00000
  43   38 81Sr    -71527.70312    8587.34766       0.5000   10500.00000   14000.00000
  42   39 81Y     -66017.33594    8509.66113       2.5000   10500.00000   14000.00000
  41   40 81Zr    -58488.48438    8407.05273       1.5000   10500.00000   14000.00000
  40   41 81Nb    -47478.00000    8261.00000       1.5000   10500.00000   14000.00000
  52   30 82Zn    -42457.00000    8303.00000       0.0000   10500.00000   14000.00000
  51   31 82Ga    -53104.00000    8423.00000       1.0000   10500.00000   14000.00000
  50   32 82Ge    -65624.00781    8566.30371       0.0000   10500.00000   14000.00000
  49   33 82As    -70324.00781    8614.08008       1.0000   10500.00000   14000.00000
  48   34 82Se    -77594.00781    8693.19824       0.0000   10500.00000   14000.00000
  47   35 82Br    -77496.46875    8682.46777       5.0000   10500.00000   14000.00000
  46   36 82Kr    -80589.50781    8710.64746       0.0000   10500.00000   14000.00000
  45   37 82Rb    -76188.20312    8647.43066       1.0000   10500.00000   14000.00000
  44   38 82Sr    -76008.38281    8635.69824       0.0000   10500.00000   14000.00000
  43   39 82Y     -68192.39062    8530.83984       1.0000   10500.00000   14000.00000
  42   40 82Zr    -64192.00000    8473.00000       0.0000   10500.00000   14000.00000
  41   41 82Nb    -52974.00000    8326.00000       0.0000   10500.00000   14000.00000
  53   30 83Zn    -36300.00000    8226.00000       2.5000   10500.00000   14000.00000
  52   31 83Ga    -49388.00000    8374.00000       1.5000   10500.00000   14000.00000
  51   32 83Ge    -60901.00000    8503.00000       2.5000   10500.00000   14000.00000
  50   33 83As    -69880.65625    8602.19922       1.5000   10500.00000   14000.00000
  49   34 83Se    -75340.65625    8658.55664       4.5000   10500.00000   14000.00000
  48   35 83Br    -79008.92969    8693.32715       1.5000   10500.00000   14000.00000
  47   36 83Kr    -79981.71094    8695.62109       4.5000   10500.00000   14000.00000
  46   37 83Rb    -79074.80469    8675.26855       2.5000   10500.00000   14000.00000
  45   38 83Sr    -76795.43750    8638.38086       3.5000   10500.00000   14000.00000
  44   39 83Y     -72326.55469    8575.11328       4.5000   10500.00000   14000.00000
  43   40 83Zr    -66458.55469    8494.98828       0.5000   10500.00000   14000.00000
  42   41 83Nb    -58958.55859    8395.20117       2.5000   10500.00000   14000.00000
  41   42 83Mo    -47748.00000    8251.00000       1.5000   10500.00000   14000.00000
  52   32 84Ge    -58246.00000    8467.00000       0.0000   10500.00000   14000.00000
  51   33 84As    -66082.00000    8551.00000       3.0000   10500.00000   14000.00000
  50   34 84Se    -75951.82812    8658.84082       0.0000   10500.00000   14000.00000
  49   35 84Br    -77799.33594    8671.52246       2.0000   10500.00000   14000.00000
  48   36 84Kr    -82430.99219    8717.34668       0.0000   10500.00000   14000.00000
  47   37 84Rb    -79750.02344    8676.11719       2.0000   10500.00000   14000.00000
  46   38 84Sr    -80643.83594    8677.44434       0.0000   10500.00000   14000.00000
  45   39 84Y     -74157.85156    8590.91602       1.0000   10500.00000   14000.00000
  44   40 84Zr    -71492.00000    8550.00000       0.0000   10500.00000   14000.00000
  43   41 84Nb    -61879.00000    8426.00000       3.0000   10500.00000   14000.00000
  42   42 84Mo    -55806.00000    8344.00000       0.0000   10500.00000   14000.00000
  54   31 85Ga    -40054.00000    8257.00000       1.5000   10500.00000   14000.00000
  53   32 85Ge    -53067.00000    8401.00000       2.5000   10500.00000   14000.00000
  52   33 85As    -63323.00000    8513.00000       1.5000   10500.00000   14000.00000
  51   34 85Se    -72428.26562    8610.47559       2.5000   10500.00000   14000.00000
  50   35 85Br    -78610.26562    8674.00098       1.5000   10500.00000   14000.00000
  49   36 85Kr    -81480.26562    8698.56152       4.5000   10500.00000   14000.00000
  48   37 85Rb    -82167.32812    8697.44141       2.5000   10500.00000   14000.00000
  47   38 85Sr    -81102.57031    8675.70996       4.5000   10500.00000   14000.00000
  46   39 85Y     -77842.12500    8628.14844       0.5000   10500.00000   14000.00000
  45   40 85Zr    -73149.12500    8563.73242       3.5000   10500.00000   14000.00000
  44   41 85Nb    -67149.12500    8483.94043       4.5000   10500.00000   14000.00000
  43   42 85Mo    -59103.00000    8380.00000       0.5000   10500.00000   14000.00000
  42   43 85Tc    -47665.00000    8236.00000       0.5000   10500.00000   14000.00000
  54   32 86Ge    -49844.00000    8360.00000       0.0000   10500.00000   14000.00000
  52   34 86Se    -70540.57031    8582.25586       0.0000   10500.00000   14000.00000
  51   35 86Br    -75639.57031    8632.45020       2.0000   10500.00000   14000.00000
  50   36 86Kr    -83265.57031    8712.02734       0.0000   10500.00000   14000.00000
  49   37 86Rb    -82747.01562    8696.90137       2.0000   10500.00000   14000.00000
  48   38 86Sr    -84523.57812    8708.46094       0.0000   10500.00000   14000.00000
  47   39 86Y     -79283.57812    8638.43359       4.0000   10500.00000   14000.00000
  46   40 86Zr    -77804.35156    8612.13672       0.0000   10500.00000   14000.00000
  45   41 86Nb    -69826.35156    8510.27246       6.0000   10500.00000   14000.00000
  44   42 86Mo    -64556.35156    8439.89648       0.0000   10500.00000   14000.00000
  43   43 86Tc    -53207.00000    8299.00000       0.0000   10500.00000   14000.00000
  55   32 87Ge    -44237.00000    8292.00000       2.5000   10500.00000   14000.00000
  54   33 87As    -55983.00000    8418.00000       1.5000   10500.00000   14000.00000
  53   34 87Se    -66581.92969    8530.88184       2.5000   10500.00000   14000.00000
  52   35 87Br    -73856.92969    8605.50977       1.5000   10500.00000   14000.00000
  51   36 87Kr    -80709.42969    8675.28223       2.5000   10500.00000   14000.00000
  50   37 87Rb    -84597.79688    8710.98340       1.5000   10500.00000   14000.00000
  49   38 87Sr    -84880.41406    8705.23926       4.5000   10500.00000   14000.00000
  48   39 87Y     -83018.72656    8674.84766       0.5000   10500.00000   14000.00000
  47   40 87Zr    -79348.14844    8623.66504       4.5000   10500.00000   14000.00000
  46   41 87Nb    -74183.14844    8555.30469       0.5000   10500.00000   14000.00000
  45   42 87Mo    -67694.92969    8471.73535       3.5000   10500.00000   14000.00000
  44   43 87Tc    -59122.00000    8364.00000       0.5000   10500.00000   14000.00000
  43   44 87Ru    -47339.00000    8220.00000       0.5000   10500.00000   14000.00000
  56   32 88Ge    -40138.00000    8243.00000       0.0000   10500.00000   14000.00000
  54   34 88Se    -63878.13672    8494.93457       0.0000   10500.00000   14000.00000
  53   35 88Br    -70732.13281    8563.93066       2.0000   10500.00000   14000.00000
  52   36 88Kr    -79692.13281    8656.85938       0.0000   10500.00000   14000.00000
  51   37 88Rb    -82609.00000    8681.11523       2.0000   10500.00000   14000.00000
  50   38 88Sr    -87921.74219    8732.59570       0.0000   10500.00000   14000.00000
  49   39 88Y     -84299.14062    8682.54004       4.0000   10500.00000   14000.00000
  48   40 88Zr    -83623.10156    8665.96777       0.0000   10500.00000   14000.00000
  47   41 88Nb    -76073.10156    8571.28223       8.0000   10500.00000   14000.00000
  46   42 88Mo    -72700.08594    8524.06152       0.0000   10500.00000   14000.00000
  45   43 88Tc    -62710.00000    8402.00000       2.0000   10500.00000   14000.00000
  44   44 88Ru    -55647.00000    8313.00000       0.0000   10500.00000   14000.00000
  57   32 89Ge    -33692.00000    8169.00000       1.5000   10500.00000   14000.00000
  56   33 89As    -47143.00000    8311.00000       1.5000   10500.00000   14000.00000
  55   34 89Se    -59196.00000    8438.00000       2.5000   10500.00000   14000.00000
  54   35 89Br    -68571.61719    8534.12012       1.5000   10500.00000   14000.00000
  53   36 89Kr    -76726.61719    8616.95898       1.5000   10500.00000   14000.00000
  52   37 89Rb    -81712.50000    8664.19043       1.5000   10500.00000   14000.00000
  51   38 89Sr    -86209.14062    8705.92383       2.5000   10500.00000   14000.00000
  50   39 89Y     -87701.75000    8713.90430       0.5000   10500.00000   14000.00000
  49   40 89Zr    -84868.88281    8673.28418       4.5000   10500.00000   14000.00000
  48   41 89Nb    -80650.38281    8617.09375       4.5000   10500.00000   14000.00000
  47   42 89Mo    -75003.89062    8544.86035       4.5000   10500.00000   14000.00000
  46   43 89Tc    -67844.00000    8456.00000       4.5000   10500.00000   14000.00000
  45   44 89Ru    -59513.00000    8353.00000       3.5000   10500.00000   14000.00000
  44   45 89Rh    -47658.00000    8211.00000       3.5000   10500.00000   14000.00000
  56   34 90Se    -55927.00000    8397.00000       0.0000   10500.00000   14000.00000
  54   36 90Kr    -74969.84375    8591.37695       0.0000   10500.00000   14000.00000
  53   37 90Rb    -79361.71094    8631.48340       0.0000   10500.00000   14000.00000
  52   38 90Sr    -85941.60156    8695.90039       0.0000   10500.00000   14000.00000
  51   39 90Y     -86487.46094    8693.27246       2.0000   10500.00000   14000.00000
  50   40 90Zr    -88767.26562    8709.91016       0.0000   10500.00000   14000.00000
  49   41 90Nb    -82656.26562    8633.31836       8.0000   10500.00000   14000.00000
  48   42 90Mo    -80167.26562    8596.96875       0.0000   10500.00000   14000.00000
  47   43 90Tc    -71206.60156    8488.71387       1.0000   10500.00000   14000.00000
  46   44 90Ru    -65307.00000    8414.00000       0.0000   10500.00000   14000.00000
  45   45 90Rh    -53216.00000    8271.00000       0.0000   10500.00000   14000.00000
  58   33 91As    -36859.00000    8193.00000       1.5000   10500.00000   14000.00000
  57   34 91Se    -50338.00000    8332.00000       0.5000   10500.00000   14000.00000
  56   35 91Br    -61508.32422    8446.33008       1.5000   10500.00000   14000.00000
  55   36 91Kr    -71310.32031    8545.44727       2.5000   10500.00000   14000.00000
  54   37 91Rb    -77745.32031    8607.56445       1.5000   10500.00000   14000.00000
  53   38 91Sr    -83645.28125    8663.80176       2.5000   10500.00000   14000.00000
  52   39 91Y     -86345.03125    8684.87207       0.5000   10500.00000   14000.00000
  51   40 91Zr    -87890.39844    8693.25684       2.5000   10500.00000   14000.00000
  50   41 91Nb    -86632.44531    8670.83594       4.5000   10500.00000   14000.00000
  49   42 91Mo    -82204.16406    8613.57715       4.5000   10500.00000   14000.00000
  48   43 91Tc    -75984.16406    8536.62793       4.5000   10500.00000   14000.00000
  47   44 91Ru    -68658.00000    8448.00000       4.5000   10500.00000   14000.00000
  46   45 91Rh    -59103.00000    8334.00000       3.5000   10500.00000   14000.00000
  45   46 91Pd    -47403.00000    8197.00000       3.5000   10500.00000   14000.00000
  58   34 92Se    -46649.00000    8289.00000       0.0000   10500.00000   14000.00000
  57   35 92Br    -56580.14453    8388.68652       2.0000   10500.00000   14000.00000
  56   36 92Kr    -68785.04688    8512.84473       0.0000   10500.00000   14000.00000
  55   37 92Rb    -74772.04688    8569.41699       0.0000   10500.00000   14000.00000
  54   38 92Sr    -82867.70312    8648.91016       0.0000   10500.00000   14000.00000
  53   39 92Y     -84813.32812    8661.55371       2.0000   10500.00000   14000.00000
  52   40 92Zr    -88453.88281    8692.62207       0.0000   10500.00000   14000.00000
  51   41 92Nb    -86448.33594    8662.31836       7.0000   10500.00000   14000.00000
  50   42 92Mo    -86805.00000    8657.69238       0.0000   10500.00000   14000.00000
  49   43 92Tc    -78934.64844    8563.63965       8.0000   10500.00000   14000.00000
